what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1566380941130
os,sysinfo,,,"win32",1566380941138
arch,sysinfo,,,"x86",1566380941138
ws,sysinfo,,,"win32",1566380941138
locale,sysinfo,,,"en_GB",1566380941138
processors,sysinfo,,,"4",1566380941138
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1566380941138
java.runtime.version,sysinfo,,,"1.8.0_221-b11",1566380941138
java.specification.name,sysinfo,,,"Java Platform API Specification",1566380941138
java.specification.vendor,sysinfo,,,"Oracle Corporation",1566380941138
java.specification.version,sysinfo,,,"1.8",1566380941138
java.vendor,sysinfo,,,"Oracle Corporation",1566380941138
java.version,sysinfo,,,"1.8.0_221",1566380941138
java.vm.info,sysinfo,,,"mixed mode",1566380941138
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1566380941138
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1566380941138
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1566380941138
java.vm.specification.version,sysinfo,,,"1.8",1566380941138
java.vm.vendor,sysinfo,,,"Oracle Corporation",1566380941138
java.vm.version,sysinfo,,,"25.221-b11",1566380941138
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1566380941274
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1566380941278
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1566380942082
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1566380942098
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1566380942246
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1566380942686
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1566380943270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1566380943614
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1566380945422
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1566380946158
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1566380946686
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1566380946734
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1566380947129
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1566380947609
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1566380948245
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1566380949073
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1566380949113
